date,0,1,2,3,4,5,6,7,8
0,0,0,1.0,0,0,0,0,0,0
1,0,0,1.0,0,0,0,0,0,0
2,0,0,1.0,0,0,0,0,0,0
3,0,0,1.0,0,0,0,0,0,0
4,0,0,1.0,0,0,0,0,0,0
5,0,0,1.0,0,0,0,0,0,0
6,0,0,1.0,0,0,0,0,0,0
7,0,0,1.0,0,0,0,1.0,1.0,0
8,0,0,1.0,0,0,0,1.0,1.0,0
9,0,0,1.0,0,0,0,1.0,1.0,0
10,0,0,1.0,0,0,0,1.0,1.0,0
11,0,0,1.0,0,1.0,0,1.0,1.0,0
12,0,0,1.0,0,1.0,0,1.0,1.0,0
13,0,2.0,1.0,0,2.0,0,1.0,1.0,0
14,0,2.0,1.0,0,3.0,1.0,3.0,1.0,0
15,0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,0
16,0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0
17,0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,0
18,0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,0
19,0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,0
20,0,4.0,2.0,6.0,6.0,3.0,4.0,3.0,0
21,0,4.0,3.0,6.0,6.0,6.0,5.0,3.0,0
22,0,4.0,3.0,8.0,13.0,8.0,7.0,6.0,0
23,0,4.0,5.0,12.0,17.0,10.0,13.0,8.0,1.0
24,0,6.0,8.0,17.0,23.0,11.0,15.0,9.0,1.0
25,1.0,6.0,11.0,21.0,26.0,13.0,16.0,9.0,1.0
26,2.0,9.0,15.0,31.0,28.0,17.0,21.0,13.0,1.0
27,3.0,10.0,20.0,42.0,35.0,19.0,24.0,19.0,2.0
28,6.0,15.0,25.0,49.0,38.0,22.0,27.0,19.0,2.0
29,6.0,15.0,28.0,53.0,43.0,24.0,30.0,21.0,5.0
30,10.0,17.0,43.0,64.0,50.0,31.0,36.0,22.0,9.0
31,13.0,24.0,58.0,80.0,57.0,35.0,42.0,26.0,10.0
32,17.0,33.0,95.0,112.0,75.0,52.0,52.0,32.0,11.0
33,23.0,41.0,133.0,143.0,99.0,75.0,65.0,46.0,14.0
34,33.0,56.0,168.0,171.0,127.0,99.0,83.0,56.0,18.0
35,37.0,67.0,212.0,201.0,140.0,122.0,108.0,69.0,22.0
36,38.0,71.0,233.0,214.0,150.0,136.0,113.0,75.0,22.0
37,46.0,90.0,330.0,252.0,170.0,158.0,143.0,92.0,28.0
38,60.0,116.0,415.0,298.0,218.0,201.0,186.0,110.0,43.0
39,74.0,153.0,521.0,365.0,276.0,269.0,238.0,137.0,58.0
40,94.0,218.0,701.0,471.0,378.0,379.0,322.0,183.0,69.0
41,113.0,277.0,812.0,561.0,440.0,464.0,380.0,211.0,82.0
42,127.0,315.0,884.0,612.0,495.0,526.0,412.0,226.0,89.0
43,147.0,363.0,962.0,669.0,552.0,578.0,451.0,245.0,99.0
44,161.0,409.0,1068.0,732.0,617.0,653.0,503.0,277.0,114.0
45,190.0,465.0,1197.0,782.0,671.0,717.0,544.0,300.0,129.0
46,229.0,574.0,1365.0,859.0,751.0,812.0,641.0,338.0,161.0
47,269.0,670.0,1543.0,965.0,850.0,902.0,729.0,381.0,188.0
48,323.0,744.0,1689.0,1058.0,946.0,977.0,805.0,418.0,234.0
49,359.0,832.0,1834.0,1142.0,1032.0,1066.0,861.0,442.0,274.0
50,388.0,908.0,1906.0,1204.0,1090.0,1112.0,896.0,471.0,290.0
51,469.0,1128.0,2159.0,1312.0,1208.0,1225.0,993.0,507.0,316.0
52,528.0,1339.0,2405.0,1432.0,1352.0,1338.0,1066.0,549.0,381.0
53,583.0,1474.0,2602.0,1533.0,1450.0,1430.0,1126.0,576.0,405.0
54,603.0,1521.0,2674.0,1588.0,1491.0,1467.0,1155.0,590.0,414.0
55,608.0,1549.0,2715.0,1609.0,1524.0,1491.0,1178.0,606.0,443.0
56,634.0,1587.0,2770.0,1631.0,1557.0,1528.0,1210.0,649.0,495.0
57,645.0,1620.0,2796.0,1649.0,1574.0,1546.0,1221.0,657.0,503.0
58,698.0,1704.0,2878.0,1687.0,1641.0,1581.0,1256.0,669.0,519.0
59,731.0,1784.0,2942.0,1718.0,1680.0,1608.0,1272.0,680.0,543.0
60,761.0,1865.0,3011.0,1763.0,1723.0,1637.0,1284.0,692.0,555.0
61,792.0,1904.0,3063.0,1781.0,1740.0,1654.0,1296.0,695.0,561.0
62,837.0,2006.0,3152.0,1820.0,1771.0,1685.0,1309.0,704.0,564.0
63,855.0,2052.0,3199.0,1839.0,1795.0,1702.0,1323.0,710.0,564.0
64,864.0,2068.0,3223.0,1847.0,1808.0,1718.0,1326.0,715.0,565.0
65,893.0,2136.0,3268.0,1869.0,1830.0,1742.0,1338.0,730.0,602.0
66,925.0,2205.0,3314.0,1901.0,1855.0,1759.0,1343.0,736.0,612.0
67,957.0,2278.0,3361.0,1923.0,1870.0,1774.0,1350.0,741.0,616.0
68,979.0,2316.0,3401.0,1938.0,1887.0,1790.0,1354.0,750.0,620.0
69,1004.0,2352.0,3426.0,1954.0,1903.0,1796.0,1358.0,755.0,622.0
70,1017.0,2374.0,3450.0,1962.0,1912.0,1806.0,1363.0,757.0,623.0
71,1032.0,2389.0,3464.0,1967.0,1916.0,1810.0,1366.0,759.0,624.0
72,1042.0,2420.0,3489.0,1977.0,1925.0,1815.0,1370.0,760.0,627.0
73,1051.0,2454.0,3510.0,1989.0,1938.0,1819.0,1372.0,765.0,628.0
74,1066.0,2482.0,3539.0,2000.0,1949.0,1822.0,1374.0,765.0,630.0
75,1075.0,2493.0,3550.0,2006.0,1951.0,1823.0,1376.0,767.0,632.0
76,1080.0,2507.0,3556.0,2012.0,1954.0,1827.0,1376.0,769.0,632.0
77,1098.0,2522.0,3575.0,2016.0,1960.0,1831.0,1382.0,771.0,635.0
78,1105.0,2540.0,3588.0,2020.0,1964.0,1834.0,1382.0,771.0,636.0
79,1106.0,2543.0,3594.0,2022.0,1964.0,1840.0,1382.0,772.0,637.0
80,1112.0,2554.0,3606.0,2025.0,1967.0,1845.0,1384.0,773.0,637.0
81,1120.0,2558.0,3612.0,2026.0,1969.0,1848.0,1384.0,774.0,638.0
82,1128.0,2573.0,3623.0,2031.0,1972.0,1852.0,1384.0,777.0,639.0
83,1132.0,2578.0,3630.0,2037.0,1974.0,1854.0,1385.0,779.0,640.0
84,1136.0,2580.0,3638.0,2042.0,1976.0,1855.0,1387.0,781.0,643.0
85,1136.0,2581.0,3644.0,2044.0,1977.0,1858.0,1388.0,782.0,643.0
86,1136.0,2587.0,3646.0,2046.0,1977.0,1859.0,1389.0,782.0,644.0
87,1141.0,2592.0,3652.0,2049.0,1980.0,1862.0,1393.0,783.0,645.0
88,1141.0,2597.0,3653.0,2051.0,1981.0,1866.0,1394.0,783.0,645.0
