"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",8.45967741935484,2.55714285714286,1.80487804878049,2.2,2.02941176470588,1.47169811320755,1.47761194029851,1.4,1.05
"10-19",2.06896551724138,15.1960784313725,2.375,1.52727272727273,2.22764227642276,1.62857142857143,1.33333333333333,1.33333333333333,1.10526315789474
"20-29",1.57142857142857,1.94736842105263,5.69736842105263,2.83333333333333,1.85185185185185,1.84615384615385,1.44,1.25,1.3
"30-39",2.234375,1.96875,2.13953488372093,2.74444444444444,2.34328358208955,1.83783783783784,1.61818181818182,1.34782608695652,1.23076923076923
"40-49",2.87272727272727,2.64615384615385,1.60975609756098,2.41666666666667,2.97435897435897,2.23076923076923,1.31578947368421,1.48387096774194,1.19047619047619
"50-59",4.35714285714286,5.925,1.84,1.89795918367347,2.2156862745098,2.41269841269841,2.03333333333333,1.52,1.34782608695652
"60-69",1.5,3.08333333333333,1.54166666666667,2,2.2962962962963,2.18918918918919,1.80555555555556,1.31578947368421,1.38095238095238
"70-79",1.2,1.16666666666667,1.25,1.25,1.5,1,2.42857142857143,1.18181818181818,1
"80+",1.5,2,1,1,3,1.5,1,1,1
