Age,Female,Male,Total,Female fraction,Male fraction,Toatal fraction
60,39.1,35.7,74.8,0.1040723982,0.1063766389,0.105159567
61,39.3,35.6,74.9,0.1046047378,0.1060786651,0.1053001546
62,38.9,35,74,0.1035400586,0.1042908224,0.1040348657
63,38.4,34.6,73,0.1022092095,0.1030989273,0.1026289892
64,38.6,34.7,73.3,0.1027415491,0.1033969011,0.1030507521
65,38.6,34.3,72.9,0.1027415491,0.102205006,0.1024884015
66,38.1,33.8,71.8,0.1014107,0.1007151371,0.1009419373
67,35.8,31.8,67.6,0.09528879425,0.0947556615,0.09503725573
68,33.8,29.7,63.5,0.08996539792,0.08849821216,0.08927316182
69,35.1,30.4,65.5,0.09342560554,0.09058402861,0.09208491494
